state, year, Republican
  Alabama, 2012, 1 
  Alaska, 2012, 1 
  Arizona, 2012, 1 
  Arkansas, 2012, 1 
  Georgia, 2012, 1 
  Idaho, 2012, 1 
  Indiana, 2012, 1 
  Kansas, 2012, 1 
  Kentucky, 2012, 1 
  Louisiana, 2012, 1 
  Mississippi, 2012, 1 
  Missouri, 2012, 1 
  Montana, 2012, 1 
  Nebraska, 2012, 1 
  North Carolina, 2012, 1 
  North Dakota, 2012, 1 
  Oklahoma, 2012, 1 
  South Carolina, 2012, 1 
  South Dakota, 2012, 1 
  Tennessee, 2012, 1 
  Texas, 2012, 1 
  Utah, 2012, 1 
  West Virginia, 2012, 1 
  Wyoming, 2012, 1 
  California, 2012, 0 
  Colorado, 2012, 0 
  Connecticut, 2012, 0 
  Delaware, 2012, 0 
  District of Columbia, 2012, 0 
  Florida, 2012, 0 
  Hawaii, 2012, 0 
  Illinois, 2012, 0 
  Iowa, 2012, 0 
  Maine, 2012, 0 
  Maryland, 2012, 0 
  Massachusetts, 2012, 0 
  Michigan, 2012, 0 
  Minnesota, 2012, 0 
  Nevada, 2012, 0 
  New Hampshire, 2012, 0 
  New Jersey, 2012, 0 
  New Mexico, 2012, 0 
  New York, 2012, 0 
  Ohio, 2012, 0 
  Oregon, 2012, 0 
  Pennsylvania, 2012, 0 
  Rhode Island, 2012, 0 
  Vermont, 2012, 0 
  Virginia, 2012, 0 
  Washington, 2012, 0 
  Wisconsin, 2012, 0 
  Alabama, 2016, 1 
  Alaska, 2016, 1 
  Arizona, 2016, 1 
  Arkansas, 2016, 1 
  Florida, 2016, 1 
  Georgia, 2016, 1 
  Idaho, 2016, 1 
  Indiana, 2016, 1 
  Iowa, 2016, 1 
  Kansas, 2016, 1 
  Kentucky, 2016, 1 
  Louisiana, 2016, 1 
  Maryland, 2016, 1 
  Michigan, 2016, 1 
  Mississippi, 2016, 1 
  Missouri, 2016, 1 
  Montana, 2016, 1 
  Nebraska, 2016, 1 
  Nevada, 2016, 1 
  North Carolina, 2016, 1 
  North Dakota, 2016, 1 
  Ohio, 2016, 1 
  Oklahoma, 2016, 1 
  Pennsylvania, 2016, 1 
  South Carolina, 2016, 1 
  South Dakota, 2016, 1 
  Tennessee, 2016, 1 
  Texas, 2016, 1 
  Utah, 2016, 1 
  West Virginia, 2016, 1 
  Wisconsin, 2016, 1 
  Wyoming, 2016, 1 
  California, 2016, 0 
  Colorado, 2016, 0 
  Connecticut, 2016, 0 
  Delaware, 2016, 0 
  District of Columbia, 2016, 0 
  Hawaii, 2016, 0 
  Illinois, 2016, 0 
  Maine, 2016, 0 
  Maryland, 2016, 0 
  Massachusetts, 2016, 0 
  Minnesota, 2016, 0 
  Nevada, 2016, 0 
  New Hampshire, 2016, 0 
  New Jersey, 2016, 0 
  New Mexico, 2016, 0 
  New York, 2016, 0 
  Oregon, 2016, 0 
  Rhode Island, 2016, 0 
  Vermont, 2016, 0 
  Virginia, 2016, 0 
  Washington, 2016, 0 
